Popularity,Vote_Count,Vote_Average,year,month,day_of_week,Original_Language_de,Original_Language_en,Original_Language_es,Original_Language_fr,Original_Language_it,Original_Language_ja,Original_Language_ko,Original_Language_other,Original_Language_ru,Original_Language_zh,other_genre,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War
231.756,6599,6.6,2020,12,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
231.441,10763,6.5,2014,4,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
231.334,109,6.5,2021,12,3,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
231.061,26,6.2,2022,2,0,False,True,False,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
230.758,10667,8.2,2016,10,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
230.547,44,7.3,2021,5,3,False,False,False,False,False,False,False,False,False,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.0,22210,7.9,2001,11,4,False,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
229.772,26490,7.7,2012,4,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
229.215,34,6.1,2021,6,1,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
228.895,19,5.1,2021,7,3,False,False,True,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
228.266,18471,7.4,2016,10,1,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
227.825,1585,6.8,2021,10,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
226.771,7,5.6,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
224.034,12176,7.5,2019,6,4,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
222.907,1105,8.0,2022,1,5,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.992,4481,7.3,2020,9,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
221.838,21,5.8,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220.049,1361,6.8,2015,4,5,False,False,False,False,False,True,False,False,False,False,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
220.017,126,7.1,2021,10,3,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
218.406,4251,6.1,2009,3,3,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
217.266,145,7.2,2021,10,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
215.466,14398,7.2,2014,9,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
214.999,1543,6.8,2021,3,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
212.134,357,6.6,2019,12,3,False,False,False,False,False,False,True,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
211.618,16,5.8,2022,2,4,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
211.613,250,6.2,2021,9,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
211.563,527,6.5,2021,6,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
211.071,996,7.7,2015,8,4,False,False,False,False,False,True,False,False,False,False,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
210.837,17901,7.7,2002,11,2,False,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
210.751,7559,7.4,2020,2,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
210.527,15355,8.2,2017,10,4,False,True,False,False,False,False,False,False,False,False,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
210.438,130,6.0,2017,6,2,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210.26,9757,7.5,2014,10,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
209.059,1490,7.4,2021,8,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
209.018,70,7.8,2021,10,4,False,False,True,False,False,False,False,False,False,False,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
208.742,2460,6.8,2020,12,3,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
208.37,1139,7.9,2014,12,5,False,False,False,False,False,True,False,False,False,False,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
207.817,18174,7.4,2017,7,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
207.027,176,5.4,2022,2,4,False,False,False,True,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
206.376,15336,7.2,2002,5,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205.308,20521,8.3,2019,4,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
205.157,2288,6.6,2021,7,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
203.843,6561,6.9,2011,9,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
203.743,68,6.3,2022,2,4,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
203.008,6973,7.2,2019,4,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
202.704,1652,7.3,2021,6,2,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
202.01,127,6.0,2022,2,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
200.253,32,8.3,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
199.248,13042,7.2,2007,12,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
198.011,418,7.2,2007,8,5,False,False,False,False,False,True,False,False,False,False,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
197.721,1948,7.0,2021,2,2,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
195.989,117,7.0,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
194.622,295,8.1,2021,8,3,False,False,True,False,False,False,False,False,False,False,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
